(-3.7706, 1.859, 0.4968)
(-3.7553, 1.8758, 0.4831)
(-3.7729, 1.8407, 0.464)
(-3.7645, 1.8368, 0.4274)
(-3.7752, 1.8109, 0.4029)
(-3.7988, 1.8216, 0.435)
(-3.8233, 1.8529, 0.4365)
(-3.808, 1.8353, 0.4312)
(-3.7759, 1.8513, 0.438)
(-3.8072, 1.8468, 0.4586)
(-3.7836, 1.8689, 0.4915)
(-3.7996, 1.8742, 0.496)
(-3.7897, 1.8948, 0.5159)
(-3.795, 1.8704, 0.5342)
(-3.8027, 1.8887, 0.5639)
(-3.7828, 1.8811, 0.5624)
(-3.792, 1.8223, 0.5319)
(-3.8515, 1.8407, 0.5433)
(-3.8813, 1.8109, 0.5334)
(-3.8698, 1.8147, 0.5311)
(-3.8759, 1.7911, 0.4968)
(-3.8744, 1.8109, 0.5151)
(-3.8958, 1.8124, 0.5075)
(-3.895, 1.8124, 0.4884)
(-3.8736, 1.7895, 0.4922)
(-3.8774, 1.8063, 0.4983)
(-3.8668, 1.8208, 0.5426)
(-3.8156, 1.8346, 0.493)
(-3.8049, 1.8582, 0.5006)
(-3.7889, 1.8536, 0.5243)
(-3.8156, 1.8559, 0.5288)
(-3.7996, 1.8162, 0.5029)
(-3.7988, 1.8071, 0.4884)
(-3.7821, 1.8193, 0.5044)
(-3.7973, 1.8498, 0.5037)
(-3.7828, 1.8284, 0.5121)
(-3.7683, 1.8521, 0.4831)
(-3.7798, 1.8697, 0.535)
(-3.7729, 1.8628, 0.5037)
(-3.7943, 1.8765, 0.4441)
(-3.7813, 1.8926, 0.4663)
(-3.7744, 1.8987, 0.4586)
(-3.7912, 1.9009, 0.4625)
(-3.8049, 1.891, 0.451)
(-3.8248, 1.8834, 0.4197)
(-3.8248, 1.8864, 0.3945)
(-3.8164, 1.8849, 0.4144)
(-3.8172, 1.8658, 0.3846)
(-3.7927, 1.8735, 0.3999)
(-3.8004, 1.8574, 0.4449)
(-3.7897, 1.8445, 0.4335)
(-3.8034, 1.8536, 0.4403)
(-3.7782, 1.875, 0.448)
(-3.7729, 1.8872, 0.451)
(-3.7698, 1.8987, 0.4686)
(-3.7798, 1.9124, 0.5014)
(-3.7744, 1.9109, 0.48)
(-3.7767, 1.9032, 0.4892)
(-3.7988, 1.8933, 0.4785)
(-3.7897, 1.9093, 0.4838)
(-3.7851, 1.9193, 0.4953)
(-3.7821, 1.9246, 0.4953)
(-3.7668, 1.8933, 0.4937)
(-3.7714, 1.8796, 0.5098)
(-3.7538, 1.8468, 0.5227)
(-3.7668, 1.8246, 0.4708)
(-3.766, 1.8124, 0.4907)
(-3.7698, 1.7979, 0.4991)
(-3.7599, 1.8002, 0.4915)
(-3.7439, 1.8048, 0.4899)
(-3.7569, 1.8094, 0.4785)
(-3.7721, 1.8185, 0.4853)
(-3.7843, 1.8078, 0.477)
(-3.7698, 1.7987, 0.4861)
(-3.7683, 1.8124, 0.4632)
(-3.7569, 1.8216, 0.509)
(-3.7759, 1.8315, 0.5037)
(-3.7698, 1.8483, 0.4762)
(-3.7752, 1.8368, 0.4922)
(-3.7523, 1.8277, 0.4739)
(-3.766, 1.8017, 0.4747)
(-3.7584, 1.7743, 0.4846)
(-3.7759, 1.8071, 0.4823)
(-3.821, 1.8193, 0.4663)
(-3.8553, 1.817, 0.4907)
